2025-06-10 23:46:44 startup archives unpack
2025-06-10 23:46:44 install netbase:all <none> 6.4
2025-06-10 23:46:44 status half-installed netbase:all 6.4
2025-06-10 23:46:44 status unpacked netbase:all 6.4
2025-06-10 23:46:44 install libssl3:amd64 <none> 3.0.16-1~deb12u1
2025-06-10 23:46:44 status triggers-pending libc-bin:amd64 2.36-9+deb12u10
2025-06-10 23:46:44 status half-installed libssl3:amd64 3.0.16-1~deb12u1
2025-06-10 23:46:44 status unpacked libssl3:amd64 3.0.16-1~deb12u1
2025-06-10 23:46:44 install openssl:amd64 <none> 3.0.16-1~deb12u1
2025-06-10 23:46:44 status half-installed openssl:amd64 3.0.16-1~deb12u1
2025-06-10 23:46:44 status unpacked openssl:amd64 3.0.16-1~deb12u1
2025-06-10 23:46:44 install ca-certificates:all <none> 20230311
2025-06-10 23:46:44 status half-installed ca-certificates:all 20230311
2025-06-10 23:46:44 status unpacked ca-certificates:all 20230311
2025-06-10 23:46:44 startup packages configure
2025-06-10 23:46:44 configure libssl3:amd64 3.0.16-1~deb12u1 <none>
2025-06-10 23:46:44 status unpacked libssl3:amd64 3.0.16-1~deb12u1
2025-06-10 23:46:44 status half-configured libssl3:amd64 3.0.16-1~deb12u1
2025-06-10 23:46:44 status installed libssl3:amd64 3.0.16-1~deb12u1
2025-06-10 23:46:44 configure netbase:all 6.4 <none>
2025-06-10 23:46:44 status unpacked netbase:all 6.4
2025-06-10 23:46:44 status half-configured netbase:all 6.4
2025-06-10 23:46:44 status installed netbase:all 6.4
2025-06-10 23:46:44 configure openssl:amd64 3.0.16-1~deb12u1 <none>
2025-06-10 23:46:44 status unpacked openssl:amd64 3.0.16-1~deb12u1
2025-06-10 23:46:44 status half-configured openssl:amd64 3.0.16-1~deb12u1
2025-06-10 23:46:44 status installed openssl:amd64 3.0.16-1~deb12u1
2025-06-10 23:46:44 configure ca-certificates:all 20230311 <none>
2025-06-10 23:46:44 status unpacked ca-certificates:all 20230311
2025-06-10 23:46:44 status half-configured ca-certificates:all 20230311
2025-06-10 23:46:45 status installed ca-certificates:all 20230311
2025-06-10 23:46:45 status triggers-pending ca-certificates:all 20230311
2025-06-10 23:46:45 trigproc libc-bin:amd64 2.36-9+deb12u10 <none>
2025-06-10 23:46:45 status half-configured libc-bin:amd64 2.36-9+deb12u10
2025-06-10 23:46:45 status installed libc-bin:amd64 2.36-9+deb12u10
2025-06-10 23:46:45 trigproc ca-certificates:all 20230311 <none>
2025-06-10 23:46:45 status half-configured ca-certificates:all 20230311
2025-06-10 23:46:46 status installed ca-certificates:all 20230311
